,name,category_code,number_of_employees,founded_year,total_money_raised,geoDescription,latitude,longitude,city,country
110,Gate 53|10 Technologies,tech,4.0,2009,125,"{'type': 'Point', 'coordinates': [10.0184565, 53.5736401]}",53.5736401,10.0184565,Hamburg,DEU
111,Musicmetric,music,15.0,2008,3400000,"{'type': 'Point', 'coordinates': [-0.0856982, 51.5253765]}",51.5253765,-0.0856982,London,GBR
112,HealthEngine,tech,12.0,2007,10400000,"{'type': 'Point', 'coordinates': [115.89084, -31.97822]}",-31.97822,115.89084,Perth,AUS
113,Brandsclub,tech,140.0,2009,17000000,"{'type': 'Point', 'coordinates': [-46.6388182, -23.5489433]}",-23.5489433,-46.6388182,Sao Paulo,BRA
114,HootSuite,social,370.0,2008,190000000,"{'type': 'Point', 'coordinates': [-123.0952381, 49.2851733]}",49.2851733,-123.0952381,Vancouver,CAN
115,Imagga,tech,6.0,2008,310,"{'type': 'Point', 'coordinates': [23.316708, 42.6866911]}",42.6866911,23.316708,Sofia,BGR
116,Joobili,tech,2.0,2008,80,"{'type': 'Point', 'coordinates': [19.0284923, 47.4953663]}",47.4953663,19.0284923,Budapest,HUN
117,WEEZEVENT,tech,20.0,2008,1100000,"{'type': 'Point', 'coordinates': [2.4476331, 48.8952712]}",48.8952712,2.4476331,Paris,FRA
118,Teachable,tech,5.0,2007,63,"{'type': 'Point', 'coordinates': [-1.0912028, 51.2057651]}",51.2057651,-1.0912028,Basingstoke,GBR
119,Fresh !,tech,9.0,2008,100,"{'type': 'Point', 'coordinates': [2.2430452, 48.8424529]}",48.8424529,2.2430452,Boulogne,FRA
120,1calendar,tech,8.0,2009,40,"{'type': 'Point', 'coordinates': [12.5751278, 55.6770321]}",55.6770321,12.5751278,Copenhagen,DNK
121,DP7 Digital,tech,6.0,2009,100,"{'type': 'Point', 'coordinates': [-46.6773686, -23.5815208]}",-23.5815208,-46.6773686,Sao Paulo,BRA
122,Rue89,news,20.0,2007,1840000,"{'type': 'Point', 'coordinates': [2.3935987, 48.8711089]}",48.8711089,2.3935987,,FRA
123,iContainers,tech,15.0,2007,133,"{'type': 'Point', 'coordinates': [2.1752709, 41.3763043]}",41.3763043,2.1752709,Barcelona,ESP
124,Hopper,travel,17.0,2007,22000000,"{'type': 'Point', 'coordinates': [-73.5550157, 45.5124334]}",45.5124334,-73.5550157,Montreal,CAN
125,VISup,tech,8.0,2007,31,"{'type': 'Point', 'coordinates': [9.2114266, 45.4650967]}",45.4650967,9.2114266,MILANO,ITA
126,YOOSE,tech,8.0,2008,22,"{'type': 'Point', 'coordinates': [13.3892132, 52.5145532]}",52.5145532,13.3892132,Berlin,DEU
127,Kwaga,tech,10.0,2008,2150000,"{'type': 'Point', 'coordinates': [2.3389864, 48.8318497]}",48.8318497,2.3389864,Paris,FRA
128,Chicisimo,fashion,4.0,2010,800,"{'type': 'Point', 'coordinates': [-2.9308322, 43.264499]}",43.264499,-2.9308322,Bilbao,ESP
129,ipadio,tech,15.0,2009,1600000,"{'type': 'Point', 'coordinates': [0.0118608, 51.8205815]}",51.8205815,0.0118608,London,GBR
130,ExtraFootie,tech,8.0,2007,267,"{'type': 'Point', 'coordinates': [4.348295, 50.8263475]}",50.8263475,4.348295,Brussels,BEL
131,Ykone,tech,10.0,2009,1500000,"{'type': 'Point', 'coordinates': [2.3509871, 48.8566667]}",48.8566667,2.3509871,Paris,FRA
132,Moviepilot,tech,43.0,2007,7000000,"{'type': 'Point', 'coordinates': [13.398504, 52.4947266]}",52.4947266,13.398504,Berlin,DEU
133,BetKlub,tech,3.0,2008,81,"{'type': 'Point', 'coordinates': [2.3639174, 48.8787606]}",48.8787606,2.3639174,Paris,FRA
134,Kimengi,tech,5.0,2008,222,"{'type': 'Point', 'coordinates': [4.8852747, 52.3735592]}",52.3735592,4.8852747,Amsterdam,NLD
135,oneDrum,enterprise,5.0,2008,1000000,"{'type': 'Point', 'coordinates': [-0.1262362, 51.5001524]}",51.5001524,-0.1262362,London,GBR
136,Layar,tech,32.0,2009,13400000,"{'type': 'Point', 'coordinates': [4.8928722, 52.3657578]}",52.3657578,4.8928722,Amsterdam,NLD
137,Tagmore Solutions,tech,15.0,2007,222,"{'type': 'Point', 'coordinates': [-3.6883074, 40.4226918]}",40.4226918,-3.6883074,Madrid,ESP
138,Lipperhey,tech,6.0,2009,178,"{'type': 'Point', 'coordinates': [4.9345824, 52.3655578]}",52.3655578,4.9345824,Amsterdam,NLD
139,Mobiles Republic,tech,25.0,2008,9000000,"{'type': 'Point', 'coordinates': [-0.5754294, 44.8743952]}",44.8743952,-0.5754294,Bordeaux Cedex,FRA
140,ubigrate,tech,12.0,2008,445,"{'type': 'Point', 'coordinates': [13.7759644, 51.0343624]}",51.0343624,13.7759644,Dresden,DEU
141,Struq,tech,50.0,2008,8500000,"{'type': 'Point', 'coordinates': [-0.1366861, 51.5152023]}",51.5152023,-0.1366861,London,GBR
142,Content Syndicate: Words on Demand,enterprise,15.0,2007,1500000,"{'type': 'Point', 'coordinates': [55.2373803, 25.1910055]}",25.1910055,55.2373803,Dubai,ARE
143,Teambox,tech,35.0,2009,6750000,"{'type': 'Point', 'coordinates': [2.1920231, 41.4063346]}",41.4063346,2.1920231,Barcelona,ESP
144,Testplant,tech,50.0,2008,2560000,"{'type': 'Point', 'coordinates': [-0.1037742, 51.517356]}",51.517356,-0.1037742,London,GBR
145,FundRazr,social,6.0,2008,426,"{'type': 'Point', 'coordinates': [-123.1092622, 49.2843936]}",49.2843936,-123.1092622,Vancouver,CAN
146,Tiny Speck,tech,45.0,2009,17200000,"{'type': 'Point', 'coordinates': [-123.109217, 49.2824551]}",49.2824551,-123.109217,Vancouver,CAN
147,Getyoo,tech,10.0,2009,1130000,"{'type': 'Point', 'coordinates': [4.3464721, 50.83997]}",50.83997,4.3464721,Brussels,BEL
